,DAYS,STATION_LINE,TOTAL_TRAFFIC
112,Friday,5 AVE 7BDFM,1333023.0
222,Friday,BROAD CHANNEL AS,1129269.0
466,Friday,WALL ST 45,943607.0
284,Friday,EUCLID AV AC,814864.0
389,Friday,NEWARK HM HE 1,656502.0
47,Friday,170 ST BD,494213.0
445,Friday,SUTTER AV L,443111.0
447,Friday,THIRTY ST 1,417913.0
147,Friday,79 ST 1,323641.0
341,Friday,JOURNAL SQUARE 1,284587.0
265,Friday,CRESCENT ST JZ,256209.0
27,Friday,14 ST-UNION SQ 456LNQRW,227157.0
190,Friday,B'WAY-LAFAYETTE BDFQ6,224715.0
0,Friday,1 AV L,218826.0
157,Friday,86 ST 456,215150.0
309,Friday,GRAND ST BD,210521.0
90,Friday,34 ST-HERALD SQ BDFMNQRW,209704.0
357,Friday,LEXINGTON AV/63 F,208804.0
462,Friday,W 4 ST-WASH SQ ABCDEFM,208678.0
177,Friday,ATL AV-BARCLAY 2345BDNQR,207169.0
408,Friday,PAVONIA/NEWPORT 1,204015.0
161,Friday,86 ST-2 AVE Q,202626.0
451,Friday,TIMES SQ-42 ST ACENQRS1237W,198940.0
103,Friday,42 ST-PORT AUTH ACENQRS1237W,193156.0
93,Friday,34 ST-PENN STA 123ACE,190509.0
149,Friday,8 AV ACEL,184545.0
313,Friday,GRD CNTRL-42 ST 4567S,182713.0
477,Friday,YORK ST F,179839.0
377,Friday,MYRTLE-WYCKOFF LM,167638.0
375,Friday,MYRTLE AV JMZ,167207.0
33,Friday,14TH STREET 1,166310.0
18,Friday,125 ST 456,165985.0
110,Friday,5 AV/53 ST EM,159546.0
474,Friday,WOODHAVEN BLVD MR,155168.0
139,Friday,72 ST 123,152095.0
41,Friday,167 ST 4,150091.0
74,Friday,23 ST FM,149071.0
96,Friday,36 ST DNR,148615.0
102,Friday,42 ST-PORT AUTH ACENGRS1237W,147059.0
158,Friday,86 ST BC,146511.0
2,Friday,103 ST 6,145664.0
342,Friday,JUNCTION BLVD 7,145014.0
71,Friday,23 ST 1,142734.0
385,Friday,NEW LOTS L,142563.0
113,Friday,50 ST 1,141938.0
92,Friday,34 ST-PENN STA 123,141164.0
176,Friday,ASTORIA DITMARS NQW,140451.0
334,Friday,JAMAICA CENTER EJZ,138870.0
145,Friday,77 ST 6,138025.0
419,Friday,QUEENSBORO PLZ 7NQW,137543.0
340,Friday,JKSN HT-ROOSVLT EFMR7,135329.0
14,Friday,116 ST-COLUMBIA 1,133887.0
207,Friday,BEDFORD PK BLVD 4,133201.0
108,Friday,49 ST NQRW,133058.0
25,Friday,14 ST ACEL,132850.0
335,Friday,JAMAICA VAN WK E,132768.0
133,Friday,68ST-HUNTER CO 6,130209.0
450,Friday,TIMES SQ-42 ST 1237ACENQRSW,129493.0
244,Friday,CHAMBERS ST 123,128045.0
107,Friday,47-50 STS ROCK BDFM,127779.0
392,Friday,NEWKIRK PLAZA BQ,127218.0
61,Friday,191 ST 1,126825.0
141,Friday,72 ST-2 AVE Q,125577.0
136,Friday,7 AV BQ,125476.0
31,Friday,145 ST ABCD,125435.0
397,Friday,NOSTRAND AV AC,125239.0
369,Friday,MONTROSE AV L,123714.0
468,Friday,WESTCHESTER SQ 6,123344.0
4,Friday,103 ST-CORONA 7,123240.0
166,Friday,96 ST 6,123087.0
323,Friday,HIGH ST AC,122893.0
271,Friday,DELANCEY/ESSEX FJMZ,122197.0
121,Friday,57 ST-7 AV NQRW,120879.0
88,Friday,33 ST 6,120239.0
316,Friday,GUN HILL RD 25,120211.0
178,Friday,ATL AV-BARCLAY BDNQR2345,119856.0
314,Friday,GREENPOINT AV G,118408.0
12,Friday,116 ST 6,118159.0
206,Friday,BEDFORD AV L,117530.0
239,Friday,CASTLE HILL AV 6,116958.0
86,Friday,3 AV-149 ST 25,116875.0
327,Friday,HOYT-SCHER ACG,115908.0
194,Friday,BAY PKWY N,114967.0
101,Friday,42 ST-BRYANT PK BDFM7,114257.0
192,Friday,BAY PKWY D,114226.0
432,Friday,SHEEPSHEAD BAY BQ,114085.0
126,Friday,59 ST NRW,113773.0
57,Friday,181 ST A,113482.0
290,Friday,FLUSHING-MAIN 7,112393.0
403,Friday,PARKCHESTER 6,112270.0
111,Friday,5 AV/59 ST NQRW,112210.0
8,Friday,111 ST 7,112209.0
430,Friday,SARATOGA AV 3,110600.0
336,Friday,JAY ST-METROTEC ACF,108381.0
72,Friday,23 ST 6,108148.0
28,Friday,14 ST-UNION SQ LNQR456W,107635.0
282,Friday,ELDER AV 6,106554.0
461,Friday,VERNON-JACKSON 7,105944.0
273,Friday,DYCKMAN ST 1,105935.0
122,Friday,59 ST 456NQRW,105548.0
289,Friday,FLUSHING AV JM,105231.0
81,Friday,28 ST 1,105110.0
236,Friday,CANAL ST JNQRZ6W,105035.0
165,Friday,96 ST 123,104949.0
398,Friday,OCEAN PKWY Q,104908.0
124,Friday,59 ST COLUMBUS ABCD1,104818.0
128,Friday,61 ST WOODSIDE 7,104075.0
1,Friday,103 ST 1,104021.0
62,Friday,2 AV F,103930.0
154,Friday,82 ST-JACKSON H 7,103549.0
449,Friday,TIMES SQ-42 ST 1237ACENQRS,103520.0
232,Friday,BURNSIDE AV 4,103449.0
344,Friday,KEW GARDENS EF,102807.0
168,Friday,96 ST-2 AVE Q,102783.0
307,Friday,GRAHAM AV L,102564.0
84,Friday,3 AV 138 ST 6,102352.0
114,Friday,50 ST CE,101519.0
456,Friday,UTICA AV AC,101430.0
256,Friday,CLEVELAND ST J,100954.0
209,Friday,BEDFORD-NOSTRAN G,100787.0
437,Friday,SPRING ST 6,99940.0
303,Friday,FULTON ST 2345ACJZ,98422.0
215,Friday,BOROUGH HALL 2345R,97771.0
291,Friday,FORDHAM RD 4,97297.0
458,Friday,VAN SICLEN AV 3,97210.0
104,Friday,45 ST R,97141.0
255,Friday,CLASSON AV G,96847.0
67,Friday,21 ST-QNSBRIDGE F,96577.0
175,Friday,ASTORIA BLVD NQW,96550.0
464,Friday,WAKEFIELD/241 2,96485.0
306,Friday,GATES AV JZ,96167.0
383,Friday,NEVINS ST 2345,95873.0
140,Friday,72 ST BC,95633.0
329,Friday,HUNTS POINT AV 6,95015.0
56,Friday,181 ST 1,94997.0
292,Friday,FORDHAM RD BD,94969.0
100,Friday,40 ST LOWERY ST 7,93930.0
384,Friday,NEW LOTS AV 3,93412.0
117,Friday,52 ST 7,92794.0
277,Friday,E 180 ST 25,92793.0
129,Friday,63 DR-REGO PARK MR,92627.0
269,Friday,DEKALB AV BDNQR,92415.0
444,Friday,SUTPHIN-ARCHER EJZ,92165.0
24,Friday,14 ST 123FLM,92014.0
3,Friday,103 ST BC,91924.0
346,Friday,KINGS HWY F,91558.0
469,Friday,WHITEHALL S-FRY R1W,91115.0
83,Friday,28 ST NRW,90539.0
404,Friday,PARKSIDE AV BQ,89778.0
52,Friday,18 AV D,89068.0
442,Friday,STERLING ST 25,88955.0
153,Friday,81 ST-MUSEUM BC,88805.0
43,Friday,168 ST 1AC,88717.0
46,Friday,170 ST 4,88519.0
225,Friday,BROADWAY JCT ACJLZ,88289.0
95,Friday,36 AV NQW,87987.0
260,Friday,CORTELYOU RD BQ,87680.0
150,Friday,8 AV N,87543.0
7,Friday,110 ST 6,86904.0
417,Friday,PROSPECT PARK BQS,86899.0
82,Friday,28 ST 6,86779.0
370,Friday,MORGAN AV L,86531.0
414,Friday,PRINCE ST NRW,86022.0
131,Friday,66 ST-LINCOLN 1,85398.0
53,Friday,18 AV F,85328.0
350,Friday,KINGSTON AV 3,84921.0
305,Friday,FULTON ST G,84865.0
415,Friday,PROSPECT AV 25,84824.0
50,Friday,175 ST A,84612.0
320,Friday,HARLEM 148 ST 3,84005.0
471,Friday,WILSON AV L,83689.0
295,Friday,FRANKLIN AV 2345S,83212.0
22,Friday,137 ST CITY COL 1,82611.0
281,Friday,EASTN PKWY-MUSM 23,82478.0
26,Friday,14 ST FLM123,82212.0
235,Friday,CANAL ST ACE,82130.0
16,Friday,125 ST 1,82038.0
371,Friday,MORISN AV/SNDVW 6,82006.0
