,DAYS,STATION_LINE,TOTAL_TRAFFIC
552,Monday,23 ST CE,261982.0
506,Monday,14 ST-UNION SQ 456LNQRW,203619.0
636,Monday,86 ST 456,202979.0
836,Monday,LEXINGTON AV/63 F,200980.0
669,Monday,B'WAY-LAFAYETTE BDFQ6,196807.0
569,Monday,34 ST-HERALD SQ BDFMNQRW,192383.0
640,Monday,86 ST-2 AVE Q,191697.0
656,Monday,ATL AV-BARCLAY 2345BDNQR,191277.0
479,Monday,1 AV L,190700.0
930,Monday,TIMES SQ-42 ST ACENQRS1237W,187425.0
941,Monday,W 4 ST-WASH SQ ABCDEFM,186249.0
788,Monday,GRAND ST BD,185722.0
582,Monday,42 ST-PORT AUTH ACENQRS1237W,184687.0
792,Monday,GRD CNTRL-42 ST 4567S,177665.0
572,Monday,34 ST-PENN STA 123ACE,175895.0
956,Monday,YORK ST F,168418.0
856,Monday,MYRTLE-WYCKOFF LM,161937.0
628,Monday,8 AV ACEL,160134.0
854,Monday,MYRTLE AV JMZ,157620.0
589,Monday,5 AV/53 ST EM,151123.0
497,Monday,125 ST 456,148851.0
618,Monday,72 ST 123,144325.0
520,Monday,167 ST 4,142968.0
575,Monday,36 ST DNR,142455.0
821,Monday,JUNCTION BLVD 7,139524.0
571,Monday,34 ST-PENN STA 123,139354.0
813,Monday,JAMAICA CENTER EJZ,139154.0
898,Monday,QUEENSBORO PLZ 7NQW,138668.0
553,Monday,23 ST FM,138622.0
864,Monday,NEW LOTS L,136625.0
493,Monday,116 ST-COLUMBIA 1,134748.0
481,Monday,103 ST 6,133393.0
550,Monday,23 ST 1,132661.0
624,Monday,77 ST 6,131678.0
612,Monday,68ST-HUNTER CO 6,130861.0
655,Monday,ASTORIA DITMARS NQW,130391.0
924,Monday,SUTTER AV L,129388.0
814,Monday,JAMAICA VAN WK E,129035.0
591,Monday,5 AVE 7BDFM,128060.0
819,Monday,JKSN HT-ROOSVLT EFMR7,124448.0
723,Monday,CHAMBERS ST 123,123261.0
871,Monday,NEWKIRK PLAZA BQ,122355.0
953,Monday,WOODHAVEN BLVD MR,121797.0
615,Monday,7 AV BQ,121260.0
483,Monday,103 ST-CORONA 7,121122.0
581,Monday,42 ST-PORT AUTH ACENGRS1237W,120702.0
929,Monday,TIMES SQ-42 ST 1237ACENQRSW,120464.0
600,Monday,57 ST-7 AV NQRW,120182.0
592,Monday,50 ST 1,120143.0
510,Monday,145 ST ABCD,119881.0
620,Monday,72 ST-2 AVE Q,119126.0
645,Monday,96 ST 6,118971.0
587,Monday,49 ST NQRW,118615.0
802,Monday,HIGH ST AC,117833.0
774,Monday,FRANKLIN AV 2345S,117804.0
