,DAYS,STATION_LINE,TOTAL_TRAFFIC
1119,Saturday,86 ST-2 AVE Q,175960.0
1107,Saturday,8 AV ACEL,166417.0
985,Saturday,14 ST-UNION SQ 456LNQRW,163868.0
1420,Saturday,W 4 ST-WASH SQ ABCDEFM,160185.0
1315,Saturday,LEXINGTON AV/63 F,157715.0
958,Saturday,1 AV L,152164.0
1048,Saturday,34 ST-HERALD SQ BDFMNQRW,144481.0
1335,Saturday,MYRTLE-WYCKOFF LM,141707.0
1333,Saturday,MYRTLE AV JMZ,137310.0
1054,Saturday,36 ST DNR,134231.0
1267,Saturday,GRAND ST BD,130767.0
1115,Saturday,86 ST 456,120083.0
1061,Saturday,42 ST-PORT AUTH ACENQRS1237W,119848.0
1435,Saturday,YORK ST F,119653.0
1060,Saturday,42 ST-PORT AUTH ACENGRS1237W,119366.0
1432,Saturday,WOODHAVEN BLVD MR,117732.0
1377,Saturday,QUEENSBORO PLZ 7NQW,113384.0
1293,Saturday,JAMAICA VAN WK E,112138.0
1097,Saturday,72 ST 123,111694.0
1164,Saturday,BEDFORD AV L,111111.0
1148,Saturday,B'WAY-LAFAYETTE BDFQ6,109977.0
976,Saturday,125 ST 456,108988.0
1409,Saturday,TIMES SQ-42 ST ACENQRS1237W,108785.0
1051,Saturday,34 ST-PENN STA 123ACE,108071.0
1135,Saturday,ATL AV-BARCLAY 2345BDNQR,104309.0
1300,Saturday,JUNCTION BLVD 7,100421.0
1136,Saturday,ATL AV-BARCLAY BDNQR2345,98544.0
1356,Saturday,OCEAN PKWY Q,98299.0
1403,Saturday,SUTTER AV L,97838.0
1079,Saturday,57 ST-7 AV NQRW,97222.0
962,Saturday,103 ST-CORONA 7,97061.0
1298,Saturday,JKSN HT-ROOSVLT EFMR7,97009.0
983,Saturday,14 ST ACEL,96457.0
1066,Saturday,49 ST NQRW,96324.0
989,Saturday,145 ST ABCD,94386.0
1343,Saturday,NEW LOTS L,94235.0
1355,Saturday,NOSTRAND AV AC,94213.0
1327,Saturday,MONTROSE AV L,92817.0
1094,Saturday,7 AV BQ,90742.0
1285,Saturday,HOYT-SCHER ACG,90586.0
