,DATE_TIME,DAYS,TOTAL_TRAFFIC,STATION_LINE
0,2016-12-31,Saturday,6549.0,1 AV L
1,2017-01-01,Sunday,4250.0,1 AV L
2,2017-01-02,Monday,4770.0,1 AV L
3,2017-01-03,Tuesday,7894.0,1 AV L
4,2017-01-04,Wednesday,7974.0,1 AV L
5,2017-01-05,Thursday,8496.0,1 AV L
6,2017-01-06,Friday,8944.0,1 AV L
7,2017-01-07,Saturday,5502.0,1 AV L
8,2017-01-08,Sunday,4192.0,1 AV L
9,2017-01-09,Monday,7595.0,1 AV L
10,2017-01-10,Tuesday,7589.0,1 AV L
11,2017-01-11,Wednesday,8703.0,1 AV L
12,2017-01-12,Thursday,8160.0,1 AV L
13,2017-01-13,Friday,9284.0,1 AV L
14,2017-01-14,Saturday,5434.0,1 AV L
15,2017-01-15,Sunday,4223.0,1 AV L
16,2017-01-16,Monday,5709.0,1 AV L
17,2017-01-17,Tuesday,8101.0,1 AV L
18,2017-01-18,Wednesday,8521.0,1 AV L
19,2017-01-19,Thursday,9270.0,1 AV L
20,2017-01-20,Friday,9214.0,1 AV L
21,2017-01-21,Saturday,5852.0,1 AV L
22,2017-01-22,Sunday,3675.0,1 AV L
23,2017-01-23,Monday,7762.0,1 AV L
24,2017-01-24,Tuesday,8111.0,1 AV L
25,2017-01-25,Wednesday,8383.0,1 AV L
26,2017-01-26,Thursday,8531.0,1 AV L
27,2017-01-27,Friday,9303.0,1 AV L
28,2017-01-28,Saturday,5843.0,1 AV L
29,2017-01-29,Sunday,4156.0,1 AV L
30,2017-01-30,Monday,8102.0,1 AV L
31,2017-01-31,Tuesday,8886.0,1 AV L
32,2017-02-01,Wednesday,9243.0,1 AV L
33,2017-02-02,Thursday,8738.0,1 AV L
34,2017-02-03,Friday,8374.0,1 AV L
35,2017-02-04,Saturday,5412.0,1 AV L
36,2017-02-05,Sunday,4172.0,1 AV L
37,2017-02-06,Monday,8100.0,1 AV L
38,2017-02-07,Tuesday,8112.0,1 AV L
39,2017-02-08,Wednesday,8145.0,1 AV L
40,2017-02-09,Thursday,5496.0,1 AV L
41,2017-02-10,Friday,8444.0,1 AV L
42,2017-02-11,Saturday,4295.0,1 AV L
43,2017-02-12,Sunday,4337.0,1 AV L
44,2017-02-13,Monday,8130.0,1 AV L
45,2017-02-14,Tuesday,8560.0,1 AV L
46,2017-02-15,Wednesday,8366.0,1 AV L
47,2017-02-16,Thursday,8453.0,1 AV L
48,2017-02-17,Friday,8084.0,1 AV L
49,2017-02-18,Saturday,6640.0,1 AV L
50,2017-02-19,Sunday,5453.0,1 AV L
51,2017-02-20,Monday,5832.0,1 AV L
52,2017-02-21,Tuesday,7283.0,1 AV L
53,2017-02-22,Wednesday,7293.0,1 AV L
54,2017-02-23,Thursday,7953.0,1 AV L
55,2017-02-24,Friday,9210.0,1 AV L
56,2017-02-25,Saturday,6883.0,1 AV L
57,2017-02-26,Sunday,5381.0,1 AV L
58,2017-02-27,Monday,7985.0,1 AV L
59,2017-02-28,Tuesday,8104.0,1 AV L
60,2017-03-01,Wednesday,8611.0,1 AV L
61,2017-03-02,Thursday,8731.0,1 AV L
62,2017-03-03,Friday,8191.0,1 AV L
63,2017-03-04,Saturday,5664.0,1 AV L
64,2017-03-05,Sunday,4473.0,1 AV L
65,2017-03-06,Monday,8056.0,1 AV L
66,2017-03-07,Tuesday,8283.0,1 AV L
67,2017-03-08,Wednesday,8656.0,1 AV L
68,2017-03-09,Thursday,8671.0,1 AV L
69,2017-03-10,Friday,9019.0,1 AV L
70,2017-03-11,Saturday,6800.0,1 AV L
71,2017-03-12,Sunday,3275.0,1 AV L
72,2017-03-13,Monday,8264.0,1 AV L
73,2017-03-14,Tuesday,2703.0,1 AV L
74,2017-03-15,Wednesday,6650.0,1 AV L
75,2017-03-16,Thursday,8984.0,1 AV L
76,2017-03-17,Friday,8374.0,1 AV L
77,2017-03-18,Saturday,6976.0,1 AV L
78,2017-03-19,Sunday,3642.0,1 AV L
79,2017-03-20,Monday,7887.0,1 AV L
80,2017-03-21,Tuesday,8517.0,1 AV L
81,2017-03-22,Wednesday,6333.0,1 AV L
82,2017-03-23,Thursday,6677.0,1 AV L
83,2017-03-24,Friday,9381.0,1 AV L
84,2017-03-25,Saturday,6962.0,1 AV L
85,2017-03-26,Sunday,5530.0,1 AV L
86,2017-03-27,Monday,7922.0,1 AV L
87,2017-03-28,Tuesday,8379.0,1 AV L
88,2017-03-29,Wednesday,8493.0,1 AV L
89,2017-03-30,Thursday,8859.0,1 AV L
90,2017-03-31,Friday,8517.0,1 AV L
91,2017-04-01,Saturday,7065.0,1 AV L
92,2017-04-02,Sunday,5789.0,1 AV L
93,2017-04-03,Monday,8207.0,1 AV L
94,2017-04-04,Tuesday,8506.0,1 AV L
95,2017-04-05,Wednesday,7922.0,1 AV L
96,2017-04-06,Thursday,8194.0,1 AV L
97,2017-04-07,Friday,9047.0,1 AV L
98,2017-04-08,Saturday,7165.0,1 AV L
99,2017-04-09,Sunday,5637.0,1 AV L
100,2017-04-10,Monday,7267.0,1 AV L
101,2017-04-11,Tuesday,6575.0,1 AV L
102,2017-04-12,Wednesday,7302.0,1 AV L
103,2017-04-13,Thursday,7883.0,1 AV L
104,2017-04-14,Friday,7159.0,1 AV L
105,2017-04-15,Saturday,5316.0,1 AV L
106,2017-04-16,Sunday,3952.0,1 AV L
107,2017-04-17,Monday,7215.0,1 AV L
108,2017-04-18,Tuesday,7689.0,1 AV L
109,2017-04-19,Wednesday,8389.0,1 AV L
110,2017-04-20,Thursday,8767.0,1 AV L
111,2017-04-21,Friday,9183.0,1 AV L
112,2017-04-22,Saturday,7406.0,1 AV L
113,2017-04-23,Sunday,5591.0,1 AV L
114,2017-04-24,Monday,7916.0,1 AV L
115,2017-04-25,Tuesday,8263.0,1 AV L
116,2017-04-26,Wednesday,8810.0,1 AV L
117,2017-04-27,Thursday,8925.0,1 AV L
118,2017-04-28,Friday,8833.0,1 AV L
119,2017-04-29,Saturday,6790.0,1 AV L
120,2017-04-30,Sunday,5488.0,1 AV L
