,DAYS,STATION_LINE,TOTAL_TRAFFIC
1826,Sunday,NEWARK HM HE 1,523375.0
1598,Sunday,86 ST-2 AVE Q,150642.0
1586,Sunday,8 AV ACEL,136592.0
1464,Sunday,14 ST-UNION SQ 456LNQRW,135821.0
1899,Sunday,W 4 ST-WASH SQ ABCDEFM,129327.0
1794,Sunday,LEXINGTON AV/63 F,122191.0
1812,Sunday,MYRTLE AV JMZ,118493.0
1527,Sunday,34 ST-HERALD SQ BDFMNQRW,117664.0
1814,Sunday,MYRTLE-WYCKOFF LM,114441.0
1437,Sunday,1 AV L,114352.0
1746,Sunday,GRAND ST BD,111464.0
1914,Sunday,YORK ST F,109942.0
1732,Sunday,FRANKLIN AV 2345S,109298.0
1533,Sunday,36 ST DNR,108302.0
1461,Sunday,14 ST 123FLM,105748.0
1540,Sunday,42 ST-PORT AUTH ACENQRS1237W,101161.0
1576,Sunday,72 ST 123,94099.0
1530,Sunday,34 ST-PENN STA 123ACE,93797.0
1594,Sunday,86 ST 456,91580.0
1539,Sunday,42 ST-PORT AUTH ACENGRS1237W,88568.0
1856,Sunday,QUEENSBORO PLZ 7NQW,87899.0
1455,Sunday,125 ST 456,87442.0
1911,Sunday,WOODHAVEN BLVD MR,84912.0
1772,Sunday,JAMAICA VAN WK E,83720.0
1545,Sunday,49 ST NQRW,82771.0
1777,Sunday,JKSN HT-ROOSVLT EFMR7,80985.0
1627,Sunday,B'WAY-LAFAYETTE BDFQ6,80935.0
1615,Sunday,ATL AV-BARCLAY BDNQR2345,80773.0
1643,Sunday,BEDFORD AV L,80453.0
1882,Sunday,SUTTER AV L,80175.0
1614,Sunday,ATL AV-BARCLAY 2345BDNQR,79693.0
1468,Sunday,145 ST ABCD,79642.0
1888,Sunday,TIMES SQ-42 ST ACENQRS1237W,79318.0
1558,Sunday,57 ST-7 AV NQRW,78952.0
1441,Sunday,103 ST-CORONA 7,78460.0
1779,Sunday,JUNCTION BLVD 7,78022.0
1822,Sunday,NEW LOTS L,76934.0
1886,Sunday,TIMES SQ-42 ST 1237ACENQRS,74842.0
1806,Sunday,MONTROSE AV L,74627.0
1696,Sunday,CONEY IS-STILLW DFNQ,73634.0
1462,Sunday,14 ST ACEL,73615.0
1834,Sunday,NOSTRAND AV AC,73146.0
1764,Sunday,HOYT-SCHER ACG,71756.0
1573,Sunday,7 AV BQ,71733.0
1829,Sunday,NEWKIRK PLAZA BQ,71124.0
1727,Sunday,FLUSHING-MAIN 7,70573.0
1629,Sunday,BAY PKWY D,70221.0
1835,Sunday,OCEAN PKWY Q,69788.0
1582,Sunday,77 ST 6,69406.0
1563,Sunday,59 ST NRW,69301.0
1753,Sunday,GUN HILL RD 25,68851.0
1631,Sunday,BAY PKWY N,68811.0
1498,Sunday,191 ST 1,67775.0
1478,Sunday,167 ST 4,67754.0
1854,Sunday,PROSPECT PARK BQS,67599.0
1508,Sunday,23 ST 1,67351.0
1445,Sunday,111 ST 7,67349.0
1439,Sunday,103 ST 6,67241.0
1494,Sunday,181 ST A,67196.0
1710,Sunday,DYCKMAN ST 1,65386.0
1676,Sunday,CASTLE HILL AV 6,64232.0
1449,Sunday,116 ST 6,64213.0
1718,Sunday,EASTN PKWY-MUSM 23,64163.0
1646,Sunday,BEDFORD-NOSTRAN G,63814.0
1719,Sunday,ELDER AV 6,63372.0
1565,Sunday,61 ST WOODSIDE 7,63341.0
1561,Sunday,59 ST COLUMBUS ABCD1,63231.0
1613,Sunday,ASTORIA DITMARS NQW,63139.0
1438,Sunday,103 ST 1,63024.0
1551,Sunday,50 ST CE,62488.0
1841,Sunday,PARKSIDE AV BQ,62476.0
1681,Sunday,CHAMBERS ST 123,62243.0
1851,Sunday,PRINCE ST NRW,61991.0
1714,Sunday,E 180 ST 25,61528.0
1605,Sunday,96 ST-2 AVE Q,60278.0
1523,Sunday,3 AV-149 ST 25,59958.0
1499,Sunday,2 AV F,59738.0
1760,Sunday,HIGH ST AC,59727.0
1584,Sunday,79 ST 1,59633.0
1451,Sunday,116 ST-COLUMBIA 1,59488.0
1874,Sunday,SPRING ST 6,58854.0
1578,Sunday,72 ST-2 AVE Q,58643.0
1603,Sunday,96 ST 6,58639.0
1591,Sunday,82 ST-JACKSON H 7,58581.0
1729,Sunday,FORDHAM RD BD,58554.0
1708,Sunday,DELANCEY/ESSEX FJMZ,58201.0
1893,Sunday,UTICA AV AC,57549.0
1743,Sunday,GATES AV JZ,57497.0
1840,Sunday,PARKCHESTER 6,57491.0
1726,Sunday,FLUSHING AV JM,56891.0
