,DAYS,STATION_LINE,TOTAL_TRAFFIC
1958,Thursday,167 ST BD,327764.0
2028,Thursday,5 AVE 7BDFM,255461.0
2106,Thursday,B'WAY-LAFAYETTE BDFQ6,229886.0
1943,Thursday,14 ST-UNION SQ 456LNQRW,228096.0
2073,Thursday,86 ST 456,225345.0
2273,Thursday,LEXINGTON AV/63 F,224741.0
2006,Thursday,34 ST-HERALD SQ BDFMNQRW,218536.0
1916,Thursday,1 AV L,218107.0
2378,Thursday,W 4 ST-WASH SQ ABCDEFM,213792.0
2367,Thursday,TIMES SQ-42 ST ACENQRS1237W,213011.0
2077,Thursday,86 ST-2 AVE Q,208509.0
2093,Thursday,ATL AV-BARCLAY 2345BDNQR,208498.0
2225,Thursday,GRAND ST BD,203894.0
2229,Thursday,GRD CNTRL-42 ST 4567S,203523.0
2019,Thursday,42 ST-PORT AUTH ACENQRS1237W,200749.0
2009,Thursday,34 ST-PENN STA 123ACE,195189.0
2393,Thursday,YORK ST F,194484.0
2065,Thursday,8 AV ACEL,182807.0
2026,Thursday,5 AV/53 ST EM,174299.0
2293,Thursday,MYRTLE-WYCKOFF LM,169631.0
2291,Thursday,MYRTLE AV JMZ,166701.0
1990,Thursday,23 ST FM,164199.0
1934,Thursday,125 ST 456,163357.0
2055,Thursday,72 ST 123,157432.0
2008,Thursday,34 ST-PENN STA 123,157165.0
1957,Thursday,167 ST 4,155539.0
1987,Thursday,23 ST 1,151036.0
2012,Thursday,36 ST DNR,150376.0
2049,Thursday,68ST-HUNTER CO 6,150109.0
1930,Thursday,116 ST-COLUMBIA 1,149681.0
2018,Thursday,42 ST-PORT AUTH ACENGRS1237W,149562.0
2335,Thursday,QUEENSBORO PLZ 7NQW,148913.0
2029,Thursday,50 ST 1,148510.0
2258,Thursday,JUNCTION BLVD 7,147836.0
2250,Thursday,JAMAICA CENTER EJZ,147518.0
2301,Thursday,NEW LOTS L,147349.0
2092,Thursday,ASTORIA DITMARS NQW,146079.0
2061,Thursday,77 ST 6,145569.0
2251,Thursday,JAMAICA VAN WK E,142250.0
2160,Thursday,CHAMBERS ST 123,140344.0
2023,Thursday,47-50 STS ROCK BDFM,140026.0
2390,Thursday,WOODHAVEN BLVD MR,139702.0
1918,Thursday,103 ST 6,138393.0
2024,Thursday,49 ST NQRW,137686.0
2366,Thursday,TIMES SQ-42 ST 1237ACENQRSW,135476.0
2052,Thursday,7 AV BQ,135256.0
2057,Thursday,72 ST-2 AVE Q,134996.0
1941,Thursday,14 ST ACEL,134675.0
2308,Thursday,NEWKIRK PLAZA BQ,133832.0
2361,Thursday,SUTTER AV L,133788.0
2239,Thursday,HIGH ST AC,132639.0
2082,Thursday,96 ST 6,131635.0
1977,Thursday,191 ST 1,130929.0
2037,Thursday,57 ST-7 AV NQRW,129806.0
2313,Thursday,NOSTRAND AV AC,129206.0
1947,Thursday,145 ST ABCD,128895.0
2004,Thursday,33 ST 6,128038.0
1988,Thursday,23 ST 6,127968.0
2256,Thursday,JKSN HT-ROOSVLT EFMR7,127219.0
1920,Thursday,103 ST-CORONA 7,126741.0
2252,Thursday,JAY ST-METROTEC ACF,125461.0
1973,Thursday,181 ST A,123782.0
2027,Thursday,5 AV/59 ST NQRW,123271.0
2285,Thursday,MONTROSE AV L,123251.0
2074,Thursday,86 ST BC,123247.0
2232,Thursday,GUN HILL RD 25,122878.0
2187,Thursday,DELANCEY/ESSEX FJMZ,121194.0
2094,Thursday,ATL AV-BARCLAY BDNQR2345,120835.0
2384,Thursday,WESTCHESTER SQ 6,120331.0
2110,Thursday,BAY PKWY N,119977.0
1928,Thursday,116 ST 6,119877.0
2211,Thursday,FRANKLIN AV 2345S,119773.0
2243,Thursday,HOYT-SCHER ACG,119361.0
2155,Thursday,CASTLE HILL AV 6,119033.0
2042,Thursday,59 ST NRW,118602.0
2108,Thursday,BAY PKWY D,118498.0
2230,Thursday,GREENPOINT AV G,118434.0
2348,Thursday,SHEEPSHEAD BAY BQ,118212.0
2206,Thursday,FLUSHING-MAIN 7,116806.0
1997,Thursday,28 ST 1,116271.0
2040,Thursday,59 ST COLUMBUS ABCD1,116219.0
2017,Thursday,42 ST-BRYANT PK BDFM7,115437.0
2346,Thursday,SARATOGA AV 3,115358.0
2148,Thursday,BURNSIDE AV 4,114347.0
2002,Thursday,3 AV-149 ST 25,114053.0
1924,Thursday,111 ST 7,113676.0
2324,Thursday,PAVONIA/NEWPORT 1,112785.0
2038,Thursday,59 ST 456NQRW,112635.0
2122,Thursday,BEDFORD AV L,111977.0
2319,Thursday,PARKCHESTER 6,110881.0
2081,Thursday,96 ST 123,110606.0
1917,Thursday,103 ST 1,110355.0
1940,Thursday,14 ST 123FLM,109804.0
1944,Thursday,14 ST-UNION SQ LNQR456W,109513.0
2152,Thursday,CANAL ST JNQRZ6W,108721.0
2377,Thursday,VERNON-JACKSON 7,108224.0
2198,Thursday,ELDER AV 6,108191.0
2189,Thursday,DYCKMAN ST 1,108032.0
2205,Thursday,FLUSHING AV JM,107033.0
2070,Thursday,82 ST-JACKSON H 7,106415.0
2131,Thursday,BOROUGH HALL 2345R,106329.0
2084,Thursday,96 ST-2 AVE Q,105943.0
2125,Thursday,BEDFORD-NOSTRAN G,105172.0
2219,Thursday,FULTON ST 2345ACJZ,105160.0
