,DAYS,STATION_LINE,TOTAL_TRAFFIC
2803,Tuesday,PAVONIA/NEWPORT 1,300709.0
2552,Tuesday,86 ST 456,218549.0
2422,Tuesday,14 ST-UNION SQ 456LNQRW,216821.0
2752,Tuesday,LEXINGTON AV/63 F,215306.0
2585,Tuesday,B'WAY-LAFAYETTE BDFQ6,213868.0
2395,Tuesday,1 AV L,206698.0
2485,Tuesday,34 ST-HERALD SQ BDFMNQRW,205721.0
2846,Tuesday,TIMES SQ-42 ST ACENQRS1237W,205111.0
2572,Tuesday,ATL AV-BARCLAY 2345BDNQR,203866.0
2857,Tuesday,W 4 ST-WASH SQ ABCDEFM,203466.0
2556,Tuesday,86 ST-2 AVE Q,202050.0
2708,Tuesday,GRD CNTRL-42 ST 4567S,200536.0
2704,Tuesday,GRAND ST BD,194383.0
2498,Tuesday,42 ST-PORT AUTH ACENQRS1237W,191452.0
2488,Tuesday,34 ST-PENN STA 123ACE,190073.0
2872,Tuesday,YORK ST F,183749.0
2734,Tuesday,JFK JAMAICA CT1 E,169090.0
2505,Tuesday,5 AV/53 ST EM,168831.0
2772,Tuesday,MYRTLE-WYCKOFF LM,168341.0
2544,Tuesday,8 AV ACEL,165781.0
2770,Tuesday,MYRTLE AV JMZ,158160.0
2413,Tuesday,125 ST 456,157954.0
2469,Tuesday,23 ST FM,157341.0
2487,Tuesday,34 ST-PENN STA 123,156539.0
2436,Tuesday,167 ST 4,153796.0
2534,Tuesday,72 ST 123,153109.0
2729,Tuesday,JAMAICA CENTER EJZ,149962.0
2491,Tuesday,36 ST DNR,146770.0
2466,Tuesday,23 ST 1,145203.0
2507,Tuesday,5 AVE 7BDFM,144648.0
2409,Tuesday,116 ST-COLUMBIA 1,144626.0
2528,Tuesday,68ST-HUNTER CO 6,143810.0
2814,Tuesday,QUEENSBORO PLZ 7NQW,143222.0
2737,Tuesday,JUNCTION BLVD 7,142900.0
2540,Tuesday,77 ST 6,142208.0
2497,Tuesday,42 ST-PORT AUTH ACENGRS1237W,142165.0
2397,Tuesday,103 ST 6,141972.0
2571,Tuesday,ASTORIA DITMARS NQW,141395.0
2508,Tuesday,50 ST 1,140785.0
2840,Tuesday,SUTTER AV L,139641.0
2780,Tuesday,NEW LOTS L,138933.0
2730,Tuesday,JAMAICA VAN WK E,138294.0
2639,Tuesday,CHAMBERS ST 123,135395.0
2845,Tuesday,TIMES SQ-42 ST 1237ACENQRSW,131939.0
2502,Tuesday,47-50 STS ROCK BDFM,131838.0
2561,Tuesday,96 ST 6,130536.0
2503,Tuesday,49 ST NQRW,129773.0
2536,Tuesday,72 ST-2 AVE Q,129386.0
2531,Tuesday,7 AV BQ,128921.0
2456,Tuesday,191 ST 1,128786.0
2787,Tuesday,NEWKIRK PLAZA BQ,128539.0
2516,Tuesday,57 ST-7 AV NQRW,127574.0
2735,Tuesday,JKSN HT-ROOSVLT EFMR7,126882.0
2481,Tuesday,3 AV-149 ST 25,125568.0
2483,Tuesday,33 ST 6,125087.0
2420,Tuesday,14 ST ACEL,125072.0
2467,Tuesday,23 ST 6,124916.0
2792,Tuesday,NOSTRAND AV AC,124164.0
2399,Tuesday,103 ST-CORONA 7,124159.0
2690,Tuesday,FRANKLIN AV 2345S,124111.0
2426,Tuesday,145 ST ABCD,123472.0
2863,Tuesday,WESTCHESTER SQ 6,122966.0
2718,Tuesday,HIGH ST AC,121560.0
2731,Tuesday,JAY ST-METROTEC ACF,120929.0
2506,Tuesday,5 AV/59 ST NQRW,119912.0
2711,Tuesday,GUN HILL RD 25,119638.0
2419,Tuesday,14 ST 123FLM,119601.0
2764,Tuesday,MONTROSE AV L,118863.0
2798,Tuesday,PARKCHESTER 6,118820.0
2573,Tuesday,ATL AV-BARCLAY BDNQR2345,117730.0
2521,Tuesday,59 ST NRW,117153.0
2589,Tuesday,BAY PKWY N,116724.0
2452,Tuesday,181 ST A,116720.0
2553,Tuesday,86 ST BC,116589.0
2407,Tuesday,116 ST 6,115975.0
2722,Tuesday,HOYT-SCHER ACG,115678.0
2634,Tuesday,CASTLE HILL AV 6,115629.0
2827,Tuesday,SHEEPSHEAD BAY BQ,115142.0
2793,Tuesday,OCEAN PKWY Q,114813.0
2666,Tuesday,DELANCEY/ESSEX FJMZ,114706.0
2587,Tuesday,BAY PKWY D,113972.0
2496,Tuesday,42 ST-BRYANT PK BDFM7,113585.0
2476,Tuesday,28 ST 1,113341.0
2685,Tuesday,FLUSHING-MAIN 7,112604.0
2709,Tuesday,GREENPOINT AV G,112103.0
2825,Tuesday,SARATOGA AV 3,112078.0
2396,Tuesday,103 ST 1,109890.0
2403,Tuesday,111 ST 7,109603.0
2517,Tuesday,59 ST 456NQRW,109550.0
2519,Tuesday,59 ST COLUMBUS ABCD1,107998.0
2601,Tuesday,BEDFORD AV L,107896.0
2560,Tuesday,96 ST 123,107657.0
2549,Tuesday,82 ST-JACKSON H 7,106600.0
2684,Tuesday,FLUSHING AV JM,106345.0
2856,Tuesday,VERNON-JACKSON 7,105304.0
2668,Tuesday,DYCKMAN ST 1,105152.0
2627,Tuesday,BURNSIDE AV 4,104811.0
2698,Tuesday,FULTON ST 2345ACJZ,104040.0
2423,Tuesday,14 ST-UNION SQ LNQR456W,103910.0
2495,Tuesday,40 ST LOWERY ST 7,103882.0
2479,Tuesday,3 AV 138 ST 6,103793.0
2869,Tuesday,WOODHAVEN BLVD MR,103639.0
2677,Tuesday,ELDER AV 6,103442.0
2631,Tuesday,CANAL ST JNQRZ6W,103107.0
2610,Tuesday,BOROUGH HALL 2345R,102789.0
2563,Tuesday,96 ST-2 AVE Q,102589.0
2604,Tuesday,BEDFORD-NOSTRAN G,101338.0
2523,Tuesday,61 ST WOODSIDE 7,101025.0
2851,Tuesday,UTICA AV AC,100171.0
2438,Tuesday,168 ST 1AC,99841.0
2686,Tuesday,FORDHAM RD 4,99828.0
2651,Tuesday,CLEVELAND ST J,99086.0
2702,Tuesday,GRAHAM AV L,98914.0
2739,Tuesday,KEW GARDENS EF,98389.0
2499,Tuesday,45 ST R,98076.0
2853,Tuesday,VAN SICLEN AV 3,97883.0
2844,Tuesday,TIMES SQ-42 ST 1237ACENQRS,97615.0
2570,Tuesday,ASTORIA BLVD NQW,97050.0
2778,Tuesday,NEVINS ST 2345,96363.0
2859,Tuesday,WAKEFIELD/241 2,96363.0
2724,Tuesday,HUNTS POINT AV 6,96230.0
2687,Tuesday,FORDHAM RD BD,96063.0
2741,Tuesday,KINGS HWY F,95601.0
2664,Tuesday,DEKALB AV BDNQR,95551.0
2451,Tuesday,181 ST 1,95077.0
2524,Tuesday,63 DR-REGO PARK MR,94898.0
2509,Tuesday,50 ST CE,94791.0
2650,Tuesday,CLASSON AV G,94746.0
2462,Tuesday,21 ST-QNSBRIDGE F,94623.0
2535,Tuesday,72 ST BC,94386.0
2701,Tuesday,GATES AV JZ,93912.0
2779,Tuesday,NEW LOTS AV 3,93486.0
2672,Tuesday,E 180 ST 25,93374.0
2832,Tuesday,SPRING ST 6,92825.0
2478,Tuesday,28 ST NRW,92420.0
2864,Tuesday,WHITEHALL S-FRY R1W,92049.0
2812,Tuesday,PROSPECT PARK BQS,91070.0
2398,Tuesday,103 ST BC,90691.0
2484,Tuesday,33 ST-RAWSON ST 7,90324.0
2542,Tuesday,79 ST 1,89958.0
2799,Tuesday,PARKSIDE AV BQ,89947.0
2457,Tuesday,2 AV F,89612.0
2447,Tuesday,18 AV D,89608.0
2620,Tuesday,BROADWAY JCT ACJLZ,89347.0
2837,Tuesday,STERLING ST 25,89190.0
2441,Tuesday,170 ST 4,88934.0
2526,Tuesday,66 ST-LINCOLN 1,88907.0
2417,Tuesday,137 ST CITY COL 1,88763.0
2477,Tuesday,28 ST 6,88378.0
2448,Tuesday,18 AV F,88348.0
2548,Tuesday,81 ST-MUSEUM BC,88164.0
2839,Tuesday,SUTPHIN-ARCHER EJZ,87613.0
2402,Tuesday,110 ST 6,87346.0
2512,Tuesday,52 ST 7,87192.0
2655,Tuesday,CORTELYOU RD BQ,86430.0
2490,Tuesday,36 AV NQW,86063.0
2676,Tuesday,EASTN PKWY-MUSM 23,85522.0
2715,Tuesday,HARLEM 148 ST 3,85325.0
2813,Tuesday,QUEENS PLAZA EMR,84287.0
2766,Tuesday,MORISN AV/SNDVW 6,83284.0
2470,Tuesday,23 ST NRW,82754.0
2707,Tuesday,GRANT AV A,82617.0
2545,Tuesday,8 AV N,82308.0
2445,Tuesday,175 ST A,82191.0
2810,Tuesday,PROSPECT AV 25,81860.0
2700,Tuesday,FULTON ST G,81850.0
2745,Tuesday,KINGSTON AV 3,81757.0
2421,Tuesday,14 ST FLM123,81688.0
2450,Tuesday,18 ST 1,81521.0
2494,Tuesday,4 AV-9 ST DFGMNR,81219.0
2630,Tuesday,CANAL ST ACE,80111.0
2455,Tuesday,190 ST A,80049.0
2790,Tuesday,NORWOOD AV JZ,79888.0
