,DAYS,STATION_LINE,TOTAL_TRAFFIC
3261,Wednesday,NEWARK BM BW 1,771382.0
2875,Wednesday,103 ST 1,423108.0
3195,Wednesday,HARRISON 1,297364.0
3064,Wednesday,B'WAY-LAFAYETTE BDFQ6,230829.0
2901,Wednesday,14 ST-UNION SQ 456LNQRW,228900.0
3031,Wednesday,86 ST 456,226820.0
3231,Wednesday,LEXINGTON AV/63 F,223490.0
2964,Wednesday,34 ST-HERALD SQ BDFMNQRW,221232.0
3336,Wednesday,W 4 ST-WASH SQ ABCDEFM,217234.0
3325,Wednesday,TIMES SQ-42 ST ACENQRS1237W,215705.0
2874,Wednesday,1 AV L,215351.0
3051,Wednesday,ATL AV-BARCLAY 2345BDNQR,209861.0
3035,Wednesday,86 ST-2 AVE Q,209360.0
3183,Wednesday,GRAND ST BD,207856.0
3187,Wednesday,GRD CNTRL-42 ST 4567S,203728.0
2977,Wednesday,42 ST-PORT AUTH ACENQRS1237W,200488.0
2967,Wednesday,34 ST-PENN STA 123ACE,196438.0
3351,Wednesday,YORK ST F,196142.0
3023,Wednesday,8 AV ACEL,177341.0
2984,Wednesday,5 AV/53 ST EM,176110.0
3251,Wednesday,MYRTLE-WYCKOFF LM,173758.0
3249,Wednesday,MYRTLE AV JMZ,169556.0
2892,Wednesday,125 ST 456,167683.0
3013,Wednesday,72 ST 123,162181.0
2915,Wednesday,167 ST 4,160358.0
2966,Wednesday,34 ST-PENN STA 123,158932.0
3208,Wednesday,JAMAICA CENTER EJZ,157986.0
2948,Wednesday,23 ST FM,157766.0
2970,Wednesday,36 ST DNR,153782.0
2945,Wednesday,23 ST 1,153126.0
3293,Wednesday,QUEENSBORO PLZ 7NQW,152277.0
2976,Wednesday,42 ST-PORT AUTH ACENGRS1237W,152126.0
2888,Wednesday,116 ST-COLUMBIA 1,152017.0
3259,Wednesday,NEW LOTS L,149730.0
3216,Wednesday,JUNCTION BLVD 7,149521.0
3050,Wednesday,ASTORIA DITMARS NQW,147844.0
3007,Wednesday,68ST-HUNTER CO 6,147116.0
2987,Wednesday,50 ST 1,146875.0
2986,Wednesday,5 AVE 7BDFM,146767.0
3019,Wednesday,77 ST 6,146018.0
2876,Wednesday,103 ST 6,145492.0
3118,Wednesday,CHAMBERS ST 123,143538.0
3319,Wednesday,SUTTER AV L,143105.0
3209,Wednesday,JAMAICA VAN WK E,142360.0
3324,Wednesday,TIMES SQ-42 ST 1237ACENQRSW,140517.0
2981,Wednesday,47-50 STS ROCK BDFM,139962.0
3010,Wednesday,7 AV BQ,137661.0
3015,Wednesday,72 ST-2 AVE Q,136131.0
2982,Wednesday,49 ST NQRW,136064.0
3266,Wednesday,NEWKIRK PLAZA BQ,135571.0
2899,Wednesday,14 ST ACEL,133780.0
3214,Wednesday,JKSN HT-ROOSVLT EFMR7,133606.0
3197,Wednesday,HIGH ST AC,133480.0
2905,Wednesday,145 ST ABCD,132976.0
3040,Wednesday,96 ST 6,132730.0
2935,Wednesday,191 ST 1,132436.0
2995,Wednesday,57 ST-7 AV NQRW,131351.0
3348,Wednesday,WOODHAVEN BLVD MR,131197.0
3271,Wednesday,NOSTRAND AV AC,129694.0
2962,Wednesday,33 ST 6,129670.0
2946,Wednesday,23 ST 6,129086.0
2878,Wednesday,103 ST-CORONA 7,129030.0
2960,Wednesday,3 AV-149 ST 25,129004.0
3210,Wednesday,JAY ST-METROTEC ACF,128825.0
3342,Wednesday,WESTCHESTER SQ 6,128141.0
3190,Wednesday,GUN HILL RD 25,127137.0
2985,Wednesday,5 AV/59 ST NQRW,125554.0
2931,Wednesday,181 ST A,124666.0
3243,Wednesday,MONTROSE AV L,124531.0
3032,Wednesday,86 ST BC,124523.0
2898,Wednesday,14 ST 123FLM,124050.0
3052,Wednesday,ATL AV-BARCLAY BDNQR2345,123567.0
3068,Wednesday,BAY PKWY N,123485.0
3145,Wednesday,DELANCEY/ESSEX FJMZ,122538.0
3306,Wednesday,SHEEPSHEAD BAY BQ,122101.0
3113,Wednesday,CASTLE HILL AV 6,121606.0
3277,Wednesday,PARKCHESTER 6,120732.0
3201,Wednesday,HOYT-SCHER ACG,120538.0
2975,Wednesday,42 ST-BRYANT PK BDFM7,120163.0
2886,Wednesday,116 ST 6,120155.0
3169,Wednesday,FRANKLIN AV 2345S,120001.0
3066,Wednesday,BAY PKWY D,119992.0
3000,Wednesday,59 ST NRW,119985.0
3188,Wednesday,GREENPOINT AV G,119397.0
2998,Wednesday,59 ST COLUMBUS ABCD1,118285.0
3164,Wednesday,FLUSHING-MAIN 7,118113.0
2955,Wednesday,28 ST 1,117480.0
3304,Wednesday,SARATOGA AV 3,117227.0
2996,Wednesday,59 ST 456NQRW,115877.0
2882,Wednesday,111 ST 7,115254.0
3272,Wednesday,OCEAN PKWY Q,114964.0
3080,Wednesday,BEDFORD AV L,114711.0
3282,Wednesday,PAVONIA/NEWPORT 1,113069.0
3039,Wednesday,96 ST 123,112795.0
3335,Wednesday,VERNON-JACKSON 7,111578.0
2902,Wednesday,14 ST-UNION SQ LNQR456W,111500.0
3147,Wednesday,DYCKMAN ST 1,110855.0
3110,Wednesday,CANAL ST JNQRZ6W,110516.0
3106,Wednesday,BURNSIDE AV 4,109605.0
3002,Wednesday,61 ST WOODSIDE 7,109154.0
3156,Wednesday,ELDER AV 6,108783.0
3042,Wednesday,96 ST-2 AVE Q,108343.0
3323,Wednesday,TIMES SQ-42 ST 1237ACENQRS,108339.0
3089,Wednesday,BOROUGH HALL 2345R,107750.0
3028,Wednesday,82 ST-JACKSON H 7,107651.0
2958,Wednesday,3 AV 138 ST 6,106276.0
3163,Wednesday,FLUSHING AV JM,105938.0
3083,Wednesday,BEDFORD-NOSTRAN G,105730.0
3165,Wednesday,FORDHAM RD 4,105321.0
3330,Wednesday,UTICA AV AC,105036.0
3130,Wednesday,CLEVELAND ST J,104873.0
3181,Wednesday,GRAHAM AV L,104866.0
3014,Wednesday,72 ST BC,104865.0
3332,Wednesday,VAN SICLEN AV 3,103656.0
3049,Wednesday,ASTORIA BLVD NQW,103294.0
3203,Wednesday,HUNTS POINT AV 6,102690.0
3177,Wednesday,FULTON ST 2345ACJZ,102222.0
2917,Wednesday,168 ST 1AC,102002.0
3166,Wednesday,FORDHAM RD BD,101933.0
2978,Wednesday,45 ST R,101311.0
3143,Wednesday,DEKALB AV BDNQR,101287.0
3338,Wednesday,WAKEFIELD/241 2,100901.0
3257,Wednesday,NEVINS ST 2345,100860.0
3151,Wednesday,E 180 ST 25,100801.0
3129,Wednesday,CLASSON AV G,100780.0
2974,Wednesday,40 ST LOWERY ST 7,100727.0
2941,Wednesday,21 ST-QNSBRIDGE F,100684.0
3258,Wednesday,NEW LOTS AV 3,100384.0
3021,Wednesday,79 ST 1,99858.0
3220,Wednesday,KINGS HWY F,99853.0
3003,Wednesday,63 DR-REGO PARK MR,99155.0
3343,Wednesday,WHITEHALL S-FRY R1W,98686.0
3180,Wednesday,GATES AV JZ,98436.0
2930,Wednesday,181 ST 1,98287.0
2988,Wednesday,50 ST CE,97813.0
3218,Wednesday,KEW GARDENS EF,97442.0
2877,Wednesday,103 ST BC,96283.0
3311,Wednesday,SPRING ST 6,95562.0
2957,Wednesday,28 ST NRW,95266.0
2926,Wednesday,18 AV D,95235.0
3027,Wednesday,81 ST-MUSEUM BC,95056.0
